BayID,Description1,Description2,Description3,Description4
567,1P MTR M-SAT 7:30-18:30,2P MTR M-SAT 18.30 - 20.30,1P SUN 7:30-18:30,
568,2P MTR M-F 7:30-16:00,2P MTR M-F 18:30-20:30,2P MTR SAT 7:30-20:30,2P SUN 7:30-18:30
569,1P MTR M-SAT 7:30-18:30,2P MTR M-SAT 18.30 - 20.30,1P SUN 7:30-18:30,
570,1P MTR M-SAT 7:30-18:30,2P MTR M-SAT 18.30 - 20.30,1P SUN 7:30-18:30,
571,2P MTR M-F 7:30-16:00,2P MTR M-F 18:30-20:30,2P MTR SAT 7:30-20:30,2P SUN 7:30-18:30
574,2P MTR M-F 7:30-16:00,2P MTR M-F 18:30-20:30,2P MTR SAT 7:30-20:30,2P SUN 7:30-18:30
575,2P MTR M-F 7:30-16:00,2P MTR M-F 18:30-20:30,2P MTR SAT 7:30-20:30,2P SUN 7:30-18:30
576,2P MTR M-F 7:30-16:00,2P MTR M-F 18:30-20:30,2P MTR SAT 7:30-20:30,2P SUN 7:30-18:30
577,2P MTR M-F 7:30-16:00,2P MTR M-F 18:30-20:30,2P MTR SAT 7:30-20:30,2P SUN 7:30-18:30
581,2P MTR M-F 7:30-16:00,2P MTR M-F 18:30-20:30,2P MTR SAT 7:30-20:30,2P SUN 7:30-18:30
6160,1P M-SUN 7:30-23:00,,,
598,1P MTR M-SAT 7:30-18:30,2P MTR M-SAT 18.30 - 20.30,1P SUN 7:30-18:30,
600,1P MTR M-SAT 7:30-18:30,2P MTR M-SAT 18.30 - 20.30,1P SUN 7:30-18:30,
602,1P MTR M-SAT 7:30-18:30,2P MTR M-SAT 18.30 - 20.30,1P SUN 7:30-18:30,
603,1P MTR M-SAT 7:30-18:30,2P MTR M-SAT 18.30 - 20.30,1P SUN 7:30-18:30,
604,2P MTR M-SAT 7:30-20:30,2P SUN 7:30-18:30,,
605,2P MTR M-SAT 7:30-20:30,2P SUN 7:30-18:30,,
606,2P MTR M-SAT 7:30-20:30,2P SUN 7:30-18:30,,
607,2P MTR M-SAT 7:30-20:30,2P SUN 7:30-18:30,,
609,2P MTR M-SAT 7:30-20:30,2P SUN 7:30-18:30,,
610,LZ 15M M-SUN 7:30-19:30,,,
611,2P MTR M-SAT 7:30-20:30,2P SUN 7:30-18:30,,
612,2P MTR M-SAT 7:30-20:30,2P SUN 7:30-18:30,,
614,2P MTR M-SAT 7:30-20:30,2P SUN 7:30-18:30,,
615,2P MTR M-SAT 7:30-20:30,2P SUN 7:30-18:30,,
617,2P MTR M-SAT 7:30-20:30,2P SUN 7:30-18:30,,
